istaigos_kodas;gydytojo_ID;data_nuo;data_iki;iraso_sukurimo_data
124244754;10000724;2025-10-28;2034-10-31;2026-06-20 03:00:37
124244754;10000611;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10000078;2026-07-20;2026-08-07;2026-06-20 03:00:37
124244754;10003325;2026-06-15;2026-06-26;2026-06-20 03:00:37
124244754;10000096;2026-06-25;2026-07-09;2026-06-20 03:00:37
124244754;10000075;2026-06-19;2026-07-03;2026-06-20 03:00:37
124244754;10000017;2026-06-15;2026-07-03;2026-06-20 03:00:37
124244754;10000087;2026-06-22;2026-07-07;2026-06-20 03:00:37
124244754;10000069;2026-06-22;2026-06-23;2026-06-20 03:00:37
124244754;10000611;2026-06-16;2026-07-02;2026-06-20 03:00:37
124244754;10002687;2026-06-22;2026-07-07;2026-06-20 03:00:37
124244754;10382275;2026-06-22;2026-06-23;2026-06-20 03:00:37
124244754;10000724;2026-06-23;2026-06-26;2026-06-20 03:00:37
124244754;10000724;2026-07-07;2026-07-20;2026-06-20 03:00:37
124244754;10000092;2026-07-13;2026-07-24;2026-06-20 03:00:37
124244754;10000719;2026-06-19;2026-07-03;2026-06-20 03:00:37
124244754;10000092;2026-07-13;2026-07-24;2026-06-20 03:00:37
124244754;10000078;2026-07-20;2026-08-07;2026-06-20 03:00:37
124244754;10000154;2026-06-22;2026-07-09;2026-06-20 03:00:37
124244754;10254140;2026-06-22;2026-06-23;2026-06-20 03:00:37
124244754;10000827;2026-06-25;2026-07-03;2026-06-20 03:00:37
124244754;10000560;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10006414;2026-07-13;2026-07-31;2026-06-20 03:00:37
124244754;10004507;2026-07-03;2026-07-17;2026-06-20 03:00:37
124244754;10003931;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10001991;2026-07-13;2026-07-24;2026-06-20 03:00:37
124244754;10000424;2026-07-13;2026-07-30;2026-06-20 03:00:37
124244754;10007860;2026-07-20;2026-07-31;2026-06-20 03:00:37
124244754;10398582;2026-07-10;2026-07-10;2026-06-20 03:00:37
124244754;10398582;2026-07-17;2026-07-27;2026-06-20 03:00:37
124244754;10000679;2026-06-25;2026-06-25;2026-06-20 03:00:37
124244754;10000679;2026-06-26;2026-07-02;2026-06-20 03:00:37
124244754;10000679;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10000740;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10000740;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10000157;2026-06-08;2026-06-23;2026-06-20 03:00:37
124244754;10248839;2026-07-07;2026-07-10;2026-06-20 03:00:37
124244754;10000128;2026-07-07;2026-07-20;2026-06-20 03:00:37
124244754;10000884;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10381019;2026-06-25;2026-06-25;2026-06-20 03:00:37
124244754;10000091;2026-07-20;2026-07-28;2026-06-20 03:00:37
124244754;10000093;2026-07-20;2026-07-31;2026-06-20 03:00:37
124244754;10094817;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10382275;2026-07-20;2026-07-31;2026-06-20 03:00:37
124244754;10459575;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10381019;2026-07-07;2026-07-20;2026-06-20 03:00:37
124244754;10019717;2026-07-13;2026-07-31;2026-06-20 03:00:37
124244754;10000719;2026-07-07;2026-07-08;2026-06-20 03:00:37
124244754;10002261;2026-06-22;2026-07-03;2026-06-20 03:00:37
124244754;10094817;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10000091;2026-06-25;2026-06-26;2026-06-20 03:00:37
124244754;10000115;2026-06-22;2026-07-03;2026-06-20 03:00:37
124244754;10000101;2026-06-15;2026-07-03;2026-06-20 03:00:37
124244754;10171004;2026-06-15;2026-06-23;2026-06-20 03:00:37
124244754;10000111;2026-06-30;2026-07-03;2026-06-20 03:00:37
124244754;10001137;2026-06-15;2026-07-03;2026-06-20 03:00:37
124244754;10020607;2026-06-25;2026-06-26;2026-06-20 03:00:37
124244754;10225508;2026-06-25;2026-06-26;2026-06-20 03:00:37
124244754;10000674;2026-07-17;2026-07-17;2026-06-20 03:00:37
124244754;10000104;2026-07-20;2026-07-31;2026-06-20 03:00:37
124244754;10000674;2026-07-07;2026-07-16;2026-06-20 03:00:37
124244754;10000679;2026-07-20;2026-07-31;2026-06-20 03:00:37
124244754;10000740;2026-07-07;2026-07-24;2026-06-20 03:00:37
124244754;10000842;2026-07-13;2026-07-31;2026-06-20 03:00:37
124244754;10000095;2026-07-02;2026-07-10;2026-06-20 03:00:37
124244754;10000318;2026-07-07;2026-07-21;2026-06-20 03:00:37
124244754;10183257;2026-07-20;2026-08-07;2026-06-20 03:00:37
124244754;10225508;2026-07-07;2026-07-10;2026-06-20 03:00:37
124244754;10002320;2026-07-13;2026-07-24;2026-06-20 03:00:37
124244754;10003072;2026-07-16;2026-08-05;2026-06-20 03:00:37
124244754;10002004;2026-06-18;2026-07-03;2026-06-20 03:00:37
124244754;10382275;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10002320;2026-06-25;2026-06-26;2026-06-20 03:00:37
124244754;10183257;2026-06-25;2026-06-25;2026-06-20 03:00:37
124244754;10183257;2026-07-17;2026-07-17;2026-06-20 03:00:37
124244754;10510524;2026-06-30;2026-06-30;2026-06-20 03:00:37
124244754;10003072;2026-07-03;2026-07-03;2026-06-20 03:00:37
124244754;10510524;2026-07-17;2026-07-17;2026-06-20 03:00:37
